1	NC_000001.11
KI270365.1	NT_187197.1
KI270366.1	NT_187470.1
KI270367.1	NT_187198.1
KI270368.1	NT_187199.1
KI270369.1	NT_187200.1
KI270370.1	NT_187201.1
KI270371.1	NT_187494.1
KI270372.1	NT_187491.1
KI270373.1	NT_187492.1
KI270374.1	NT_187490.1
KI270375.1	NT_187493.1
KI270376.1	NT_187489.1
KI270377.1	NT_187202.1
KI270378.1	NT_187471.1
KI270379.1	NT_187472.1
KI270380.1	NT_187203.1
KI270381.1	NT_187486.1
KI270382.1	NT_187488.1
KI270383.1	NT_187482.1
KI270384.1	NT_187484.1
KI270385.1	NT_187487.1
KI270386.1	NT_187480.1
KI270387.1	NT_187475.1
KI270388.1	NT_187478.1
KI270389.1	NT_187473.1
KI270390.1	NT_187474.1
KI270391.1	NT_187481.1
KI270392.1	NT_187485.1
KI270393.1	NT_187483.1
KI270394.1	NT_187479.1
KI270395.1	NT_187476.1
KI270396.1	NT_187477.1
KI270397.1	NT_187204.1
KI270398.1	NT_187205.1
KI270399.1	NT_187206.1
KI270400.1	NT_187207.1
KI270401.1	NT_187208.1
KI270402.1	NT_187209.1
KI270403.1	NT_187210.1
KI270404.1	NT_187211.1
KI270405.1	NT_187212.1
KI270406.1	NT_187213.1
KI270407.1	NT_187214.1
KI270408.1	NT_187215.1
KI270409.1	NT_187216.1
KI270410.1	NT_187217.1
KI270411.1	NT_187409.1
KI270412.1	NT_187408.1
KI270413.1	NT_187218.1
KI270414.1	NT_187410.1
KI270416.1	NT_187219.1
KI270417.1	NT_187415.1
KI270418.1	NT_187412.1
KI270419.1	NT_187411.1
KI270420.1	NT_187413.1
KI270421.1	NT_187220.1
KI270422.1	NT_187416.1
KI270423.1	NT_187417.1
KI270424.1	NT_187414.1
KI270425.1	NT_187418.1
KI270426.1	NT_187221.1
KI270427.1	NT_187222.1
KI270428.1	NT_187223.1
KI270429.1	NT_187419.1
KI270430.1	NT_187224.1
KI270431.1	NT_187225.1
